Date : 2019-09-09 00:10:19
Directory : d:\SJTU-jiaojiao\admin-frontend
Total : 112 files,  16102 codes, 474 comments, 592 blanks, all 17168 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| src\app\file.service.spec.ts                            | TypeScript |         15 |          0 |          4 |         19 |
| src\app\file.service.ts                                 | TypeScript |         27 |          9 |          5 |         41 |
| src\app\info-statistic\info-statistic.component.css     | CSS        |         56 |          0 |          9 |         65 |
| src\app\info-statistic\info-statistic.component.html    | HTML       |         44 |          0 |          6 |         50 |
| src\app\info-statistic\info-statistic.component.spec.ts | TypeScript |        100 |          1 |          5 |        106 |
| src\app\info-statistic\info-statistic.component.ts      | TypeScript |        598 |          0 |         10 |        608 |
| src\app\info.service.spec.ts                            | TypeScript |         17 |          0 |          6 |         23 |
| src\app\info.service.ts                                 | TypeScript |        149 |         14 |         19 |        182 |
| src\app\info\buy-info\buy-info.component.css            | CSS        |         31 |          0 |          7 |         38 |
| src\app\info\buy-info\buy-info.component.html           | HTML       |         49 |          0 |          2 |         51 |
| src\app\info\buy-info\buy-info.component.spec.ts        | TypeScript |         88 |          1 |          7 |         96 |
| src\app\info\buy-info\buy-info.component.ts             | TypeScript |         79 |          0 |          8 |         87 |
| src\app\info\info.component.css                         | CSS        |         22 |          0 |          2 |         24 |
| src\app\info\info.component.html                        | HTML       |         52 |         16 |          3 |         71 |
| src\app\info\info.component.spec.ts                     | TypeScript |         83 |          1 |          7 |         91 |
| src\app\info\info.component.ts                          | TypeScript |         55 |          0 |          4 |         59 |
| src\app\info\infocom.service.spec.ts                    | TypeScript |          9 |          0 |          4 |         13 |
| src\app\info\infocom.service.ts                         | TypeScript |         29 |          0 |          1 |         30 |
| src\app\info\sell-info\sell-info.component.css          | CSS        |         31 |          0 |          7 |         38 |
| src\app\info\sell-info\sell-info.component.html         | HTML       |         49 |          0 |          2 |         51 |
| src\app\info\sell-info\sell-info.component.spec.ts      | TypeScript |         89 |          1 |          6 |         96 |
| src\app\info\sell-info\sell-info.component.ts           | TypeScript |         79 |          0 |          9 |         88 |
| src\app\infodetail\infodetail.component.css             | CSS        |         41 |          0 |          4 |         45 |
| src\app\infodetail\infodetail.component.html            | HTML       |        103 |          0 |          4 |        107 |
| src\app\infodetail\infodetail.component.spec.ts         | TypeScript |         88 |          2 |          9 |         99 |
| src\app\infodetail\infodetail.component.ts              | TypeScript |        140 |          0 |          7 |        147 |
| src\app\inmemory-data.service.spec.ts                   | TypeScript |         13 |          0 |          5 |         18 |
| src\app\inmemory-data.service.ts                        | TypeScript |         34 |          0 |          1 |         35 |
| src\app\login\login.component.css                       | CSS        |         28 |          0 |          4 |         32 |
| src\app\login\login.component.html                      | HTML       |         12 |         24 |          2 |         38 |
| src\app\login\login.component.spec.ts                   | TypeScript |         73 |          1 |          4 |         78 |
| src\app\login\login.component.ts                        | TypeScript |         27 |          1 |          8 |         36 |
| src\app\transaction.service.spec.ts                     | TypeScript |         16 |          0 |          4 |         20 |
| src\app\transaction.service.ts                          | TypeScript |         69 |         10 |          8 |         87 |
| src\app\user.service.spec.ts                            | TypeScript |         20 |          1 |          4 |         25 |
| src\app\user.service.ts                                 | TypeScript |         50 |         13 |         11 |         74 |
| src\app\user\user.component.css                         | CSS        |         41 |          0 |          3 |         44 |
| src\app\user\user.component.html                        | HTML       |         64 |          0 |          5 |         69 |
| src\app\user\user.component.spec.ts                     | TypeScript |         90 |          1 |          6 |         97 |
| src\app\user\user.component.ts                          | TypeScript |         51 |          7 |          7 |         65 |
| src\app\userdetail\userdetail.component.css             | CSS        |         34 |          0 |          2 |         36 |
| src\app\userdetail\userdetail.component.html            | HTML       |         68 |          0 |          6 |         74 |
| src\app\userdetail\userdetail.component.spec.ts         | TypeScript |         96 |          0 |          9 |        105 |
| src\app\userdetail\userdetail.component.ts              | TypeScript |        143 |          1 |         12 |        156 |
| src\app\website.service.spec.ts                         | TypeScript |         16 |          0 |          5 |         21 |
| src\app\website.service.ts                              | TypeScript |         57 |         11 |         10 |         78 |
| src\app\website\website.component.css                   | CSS        |         14 |          0 |          3 |         17 |
| src\app\website\website.component.html                  | HTML       |         27 |          0 |          4 |         31 |
| src\app\website\website.component.spec.ts               | TypeScript |         74 |          1 |          6 |         81 |
| src\app\website\website.component.ts                    | TypeScript |         45 |          2 |          6 |         53 |
| src\environments\environment.prod.ts                    | TypeScript |          3 |          0 |          1 |          4 |
| src\environments\environment.ts                         | TypeScript |          3 |         11 |          3 |         17 |
| src\index.html                                          | HTML       |         13 |          0 |          2 |         15 |
| src\karma.conf.js                                       | JavaScript |         29 |          2 |          2 |         33 |
| src\main.ts                                             | TypeScript |         11 |          0 |          4 |         15 |
| src\polyfills.ts                                        | TypeScript |          1 |         55 |          8 |         64 |
| src\styles.css                                          | CSS        |          0 |          1 |          1 |          2 |
| src\test.ts                                             | TypeScript |         13 |          4 |          4 |         21 |
| src\theme.less                                          | Less       |        360 |        113 |         71 |        544 |
| src\tsconfig.app.json                                   | JSON       |          9 |          3 |          0 |         12 |
| src\tsconfig.spec.json                                  | JSON       |         18 |          0 |          1 |         19 |
| src\tslint.json                                         | JSON       |         17 |          0 |          1 |         18 |
| tsconfig.app.json                                       | JSON       |         14 |          0 |          1 |         15 |
| tsconfig.json                                           | JSON       |         26 |          0 |          1 |         27 |
| tsconfig.spec.json                                      | JSON       |         18 |          0 |          1 |         19 |
| tslint.json                                             | JSON       |         92 |          0 |          0 |         92 |
| Total                                                   |            |     16,102 |        474 |        592 |     17,168 |
+---------------------------------------------------------+------------+------------+------------+------------+------------+
