filename, language, JSON, Properties, JavaScript, Markdown, Dockerfile, TypeScript, HTML, CSS, Less, comment, blank, total
src\app\info\buy-info\buy-info.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 88, 0, 0, 0, 1, 7, 96
src\app\info\buy-info\buy-info.component.ts, TypeScript, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 8, 87
src\app\info\info.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 24
src\app\info\info.component.html, HTML, 0, 0, 0, 0, 0, 0, 52, 0, 0, 16, 3, 71
src\app\info\info.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 83, 0, 0, 0, 1, 7, 91
src\app\info\info.component.ts, TypeScript, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 4, 59
src\app\info\infocom.service.spec.ts, TypeScript, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
src\app\info\infocom.service.ts, TypeScript, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 30
src\app\info\sell-info\sell-info.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 7, 38
src\app\info\sell-info\sell-info.component.html, HTML, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 2, 51
src\app\info\sell-info\sell-info.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 89, 0, 0, 0, 1, 6, 96
src\app\info\sell-info\sell-info.component.ts, TypeScript, 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 9, 88
src\app\infodetail\infodetail.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 4, 45
src\app\infodetail\infodetail.component.html, HTML, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 4, 107
src\app\infodetail\infodetail.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 88, 0, 0, 0, 2, 9, 99
src\app\infodetail\infodetail.component.ts, TypeScript, 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 7, 147
src\app\inmemory-data.service.spec.ts, TypeScript, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
src\app\inmemory-data.service.ts, TypeScript, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 1, 35
src\app\login\login.component.css, CSS, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 4, 32
src\app\login\login.component.html, HTML, 0, 0, 0, 0, 0, 0, 12, 0, 0, 24, 2, 38
src\app\login\login.component.spec.ts, TypeScript, 0, 0, 0, 0, 0, 73, 0, 0, 0, 1, 4, 78
