Date : 2019-09-09 04:30:08
Directory : d:\SJTU-jiaojiao\admin-frontend\src
Total : 89 files,  4837 codes, 323 comments, 496 blanks, all 5656 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| app\inmemory-data.service.spec.ts                   | TypeScript |         13 |          0 |          5 |         18 |
| app\inmemory-data.service.ts                        | TypeScript |         34 |          0 |          1 |         35 |
| app\login\login.component.css                       | CSS        |         28 |          0 |          4 |         32 |
| app\login\login.component.html                      | HTML       |         12 |         24 |          2 |         38 |
| app\login\login.component.spec.ts                   | TypeScript |         73 |          1 |          4 |         78 |
| app\login\login.component.ts                        | TypeScript |         27 |          1 |          8 |         36 |
| app\transaction.service.spec.ts                     | TypeScript |         16 |          0 |          4 |         20 |
| app\transaction.service.ts                          | TypeScript |         69 |         10 |          8 |         87 |
| app\user.service.spec.ts                            | TypeScript |         20 |          1 |          4 |         25 |
| app\user.service.ts                                 | TypeScript |         50 |         13 |         11 |         74 |
| app\user\user.component.css                         | CSS        |         41 |          0 |          3 |         44 |
| app\user\user.component.html                        | HTML       |         64 |          0 |          5 |         69 |
| app\user\user.component.spec.ts                     | TypeScript |         88 |          1 |          6 |         95 |
| app\user\user.component.ts                          | TypeScript |         51 |          7 |          7 |         65 |
| app\userdetail\userdetail.component.css             | CSS        |         34 |          0 |          2 |         36 |
| app\userdetail\userdetail.component.html            | HTML       |         68 |          0 |          6 |         74 |
| app\userdetail\userdetail.component.spec.ts         | TypeScript |         94 |          0 |          9 |        103 |
| app\userdetail\userdetail.component.ts              | TypeScript |        143 |          1 |         12 |        156 |
| app\website.service.spec.ts                         | TypeScript |         16 |          0 |          5 |         21 |
| app\website.service.ts                              | TypeScript |         57 |         11 |         10 |         78 |
| app\website\website.component.css                   | CSS        |         14 |          0 |          3 |         17 |
| app\website\website.component.html                  | HTML       |         27 |          0 |          4 |         31 |
| app\website\website.component.spec.ts               | TypeScript |         74 |          1 |          6 |         81 |
| app\website\website.component.ts                    | TypeScript |         45 |          2 |          6 |         53 |
| environments\environment.prod.ts                    | TypeScript |          3 |          0 |          1 |          4 |
| environments\environment.ts                         | TypeScript |          3 |         11 |          3 |         17 |
| index.html                                          | HTML       |         13 |          0 |          2 |         15 |
| karma.conf.js                                       | JavaScript |         29 |          2 |          2 |         33 |
| main.ts                                             | TypeScript |         11 |          0 |          4 |         15 |
| polyfills.ts                                        | TypeScript |          1 |         55 |          8 |         64 |
| styles.css                                          | CSS        |          0 |          1 |          1 |          2 |
| test.ts                                             | TypeScript |         13 |          4 |          4 |         21 |
| theme.less                                          | Less       |        360 |        113 |         71 |        544 |
| tsconfig.app.json                                   | JSON       |          9 |          3 |          0 |         12 |
| tsconfig.spec.json                                  | JSON       |         18 |          0 |          1 |         19 |
| tslint.json                                         | JSON       |         17 |          0 |          1 |         18 |
| Total                                               |            |      4,837 |        323 |        496 |      5,656 |
+-----------------------------------------------------+------------+------------+------------+------------+------------+
