filename, language, HTML, TypeScript, JavaScript, CSS, JSON, Less, comment, blank, total
app\userdetail\userdetail.component.html, HTML, 68, 0, 0, 0, 0, 0, 0, 6, 74
app\userdetail\userdetail.component.spec.ts, TypeScript, 0, 94, 0, 0, 0, 0, 0, 9, 103
app\userdetail\userdetail.component.ts, TypeScript, 0, 143, 0, 0, 0, 0, 1, 12, 156
app\website.service.spec.ts, TypeScript, 0, 16, 0, 0, 0, 0, 0, 5, 21
app\website.service.ts, TypeScript, 0, 57, 0, 0, 0, 0, 11, 10, 78
app\website\website.component.css, CSS, 0, 0, 0, 14, 0, 0, 0, 3, 17
app\website\website.component.html, HTML, 27, 0, 0, 0, 0, 0, 0, 4, 31
app\website\website.component.spec.ts, TypeScript, 0, 74, 0, 0, 0, 0, 1, 6, 81
app\website\website.component.ts, TypeScript, 0, 45, 0, 0, 0, 0, 2, 6, 53
environments\environment.prod.ts, TypeScript, 0, 3, 0, 0, 0, 0, 0, 1, 4
environments\environment.ts, TypeScript, 0, 3, 0, 0, 0, 0, 11, 3, 17
index.html, HTML, 13, 0, 0, 0, 0, 0, 0, 2, 15
karma.conf.js, JavaScript, 0, 0, 29, 0, 0, 0, 2, 2, 33
main.ts, TypeScript, 0, 11, 0, 0, 0, 0, 0, 4, 15
polyfills.ts, TypeScript, 0, 1, 0, 0, 0, 0, 55, 8, 64
styles.css, CSS, 0, 0, 0, 0, 0, 0, 1, 1, 2
test.ts, TypeScript, 0, 13, 0, 0, 0, 0, 4, 4, 21
theme.less, Less, 0, 0, 0, 0, 0, 360, 113, 71, 544
tsconfig.app.json, JSON, 0, 0, 0, 0, 9, 0, 3, 0, 12
tsconfig.spec.json, JSON, 0, 0, 0, 0, 18, 0, 0, 1, 19
tslint.json, JSON, 0, 0, 0, 0, 17, 0, 0, 1, 18
Total, -, 712, 3289, 29, 403, 44, 360, 323, 496, 5656
